Entity,Code,Year,Inbound arrivals (same-night) per 1000 people
Albania,ALB,2007,21.840744
Albania,ALB,2008,28.119484
Albania,ALB,2009,21.838882
Albania,ALB,2010,17.848549
Albania,ALB,2011,23.098192
Albania,ALB,2012,24.548862
Albania,ALB,2013,76.20317
Albania,ALB,2014,44.034534
Albania,ALB,2015,56.201565
Albania,ALB,2016,175.97665
Albania,ALB,2017,101.75869
Albania,ALB,2018,204.03062
Albania,ALB,2019,96.73324
Albania,ALB,2020,18.836004
Albania,ALB,2021,60.9519
American Samoa,ASM,2010,313.4625
American Samoa,ASM,2011,344.16754
American Samoa,ASM,2012,513.79425
American Samoa,ASM,2013,537.5634
American Samoa,ASM,2014,574.33856
American Samoa,ASM,2015,521.49207
American Samoa,ASM,2016,360.62454
American Samoa,ASM,2017,450.6325
American Samoa,ASM,2018,652.2861
American Samoa,ASM,2019,832.2596
Andorra,AND,1999,107727.445
Andorra,AND,2000,121634.7
Andorra,AND,2001,115490.63
Andorra,AND,2002,114579.22
Andorra,AND,2003,114474.695
Andorra,AND,2004,115360.625
Andorra,AND,2005,108096.94
Andorra,AND,2006,106055.51
Andorra,AND,2007,109404.375
Andorra,AND,2008,106923.61
Andorra,AND,2009,98566.58
Andorra,AND,2010,94252.33
Andorra,AND,2011,81332.26
Andorra,AND,2012,79721.266
Andorra,AND,2013,74917.7
Andorra,AND,2014,75833.29
Andorra,AND,2015,72276.56
Andorra,AND,2016,71744.555
Andorra,AND,2017,69719.58
Andorra,AND,2018,70448.06
Andorra,AND,2019,67377.33
Andorra,AND,2020,42908.793
Andorra,AND,2021,43930.33
Anguilla,AIA,1995,7064.935
Anguilla,AIA,1996,4956.504
Anguilla,AIA,1997,6993.696
Anguilla,AIA,1998,6706.2656
Anguilla,AIA,1999,5584.512
Anguilla,AIA,2000,6142.1733
Anguilla,AIA,2001,5014.5156
Anguilla,AIA,2002,5784.3394
Anguilla,AIA,2003,5271.6606
Anguilla,AIA,2004,5603.412
Anguilla,AIA,2005,6667.2153
Anguilla,AIA,2006,7613.1855
Anguilla,AIA,2007,6854.7744
Anguilla,AIA,2008,4704.4062
Anguilla,AIA,2009,4163.454
Anguilla,AIA,2010,4244.997
Anguilla,AIA,2011,4340.343
Anguilla,AIA,2012,4748.127
Anguilla,AIA,2013,5973.6284
Anguilla,AIA,2014,7494.874
Anguilla,AIA,2015,7764.1885
Anguilla,AIA,2016,6535.5073
Anguilla,AIA,2017,5478.7236
Anguilla,AIA,2018,2170.91
Anguilla,AIA,2019,4607.9956
Anguilla,AIA,2020,1005.6367
Anguilla,AIA,2021,19.012611
Antigua and Barbuda,ATG,1995,3317.889
Antigua and Barbuda,ATG,1996,3867.253
Antigua and Barbuda,ATG,1997,4014.9932
Antigua and Barbuda,ATG,1998,4628.8003
Antigua and Barbuda,ATG,1999,4442.458
Antigua and Barbuda,ATG,2000,5688.0244
Antigua and Barbuda,ATG,2001,5365.5527
Antigua and Barbuda,ATG,2002,4014.712
Antigua and Barbuda,ATG,2003,4917.0884
Antigua and Barbuda,ATG,2004,6624.0264
Antigua and Barbuda,ATG,2005,5846.343
Antigua and Barbuda,ATG,2006,7217.986
Antigua and Barbuda,ATG,2007,8203.815
Antigua and Barbuda,ATG,2008,7169.707
Antigua and Barbuda,ATG,2009,8397.795
Antigua and Barbuda,ATG,2010,6510.3257
Antigua and Barbuda,ATG,2011,6991.435
Antigua and Barbuda,ATG,2012,6523.1274
Antigua and Barbuda,ATG,2013,6033.08
Antigua and Barbuda,ATG,2014,5848.6084
Antigua and Barbuda,ATG,2015,7158.8965
Antigua and Barbuda,ATG,2016,6723.7095
Antigua and Barbuda,ATG,2017,8701.568
Antigua and Barbuda,ATG,2018,8674.872
Antigua and Barbuda,ATG,2019,7967.2627
Antigua and Barbuda,ATG,2020,1629.4026
Antigua and Barbuda,ATG,2021,864.53784
Argentina,ARG,2016,75.982
Argentina,ARG,2017,73.840164
Argentina,ARG,2018,77.72395
Argentina,ARG,2019,83.40501
Argentina,ARG,2020,22.359875
Argentina,ARG,2021,3.6000786
Aruba,ABW,1995,3801.7388
Aruba,ABW,1996,3978.2456
Aruba,ABW,1997,3627.6138
Aruba,ABW,1998,3069.9934
Aruba,ABW,1999,3326.5422
Aruba,ABW,2000,5498.3896
Aruba,ABW,2001,5369.231
Aruba,ABW,2002,6340.0073
Aruba,ABW,2003,5845.998
Aruba,ABW,2004,6156.872
Aruba,ABW,2005,5852.1616
Aruba,ABW,2006,6180.651
Aruba,ABW,2007,4979.493
Aruba,ABW,2008,5673.122
Aruba,ABW,2009,6117.533
Aruba,ABW,2010,5679.893
Aruba,ABW,2011,5922.767
Aruba,ABW,2012,5649.8833
Aruba,ABW,2013,6686.688
Aruba,ABW,2014,6437.789
Aruba,ABW,2015,5821.481
Aruba,ABW,2016,6254.171
Aruba,ABW,2017,7514.177
Aruba,ABW,2018,7690.1304
Aruba,ABW,2019,7815.2886
Australia,AUS,1998,18.38545
Australia,AUS,1999,1.8084248
Australia,AUS,2000,1.9455285
Australia,AUS,2001,2.1300752
Australia,AUS,2002,2.2078636
Australia,AUS,2003,1.5229197
Australia,AUS,2004,1.1543252
Australia,AUS,2005,1.2889324
Australia,AUS,2006,1.7100672
Azerbaijan,AZE,2002,30.816538
Azerbaijan,AZE,2003,31.906088
Azerbaijan,AZE,2004,33.893677
Azerbaijan,AZE,2005,55.913403
Azerbaijan,AZE,2006,58.425125
Azerbaijan,AZE,2007,67.692314
Azerbaijan,AZE,2008,95.11431
Azerbaijan,AZE,2009,90.464195
Azerbaijan,AZE,2010,73.94013
Azerbaijan,AZE,2011,72.33665
Azerbaijan,AZE,2012,52.50076
Azerbaijan,AZE,2013,39.419716
Azerbaijan,AZE,2014,14.165645
Azerbaijan,AZE,2015,8.51626
Azerbaijan,AZE,2016,20.448557
Azerbaijan,AZE,2017,24.127323
Azerbaijan,AZE,2018,21.275497
Azerbaijan,AZE,2019,28.731249
Azerbaijan,AZE,2020,20.32095
Bahamas,BHS,1995,5474.5684
Bahamas,BHS,1996,5853.5337
Bahamas,BHS,1997,5893.2954
Bahamas,BHS,1998,5770.267
Bahamas,BHS,1999,6466.177
Bahamas,BHS,2000,8183.784
Bahamas,BHS,2001,8023.929
Bahamas,BHS,2002,8661.288
Bahamas,BHS,2003,9125.419
Bahamas,BHS,2004,10035.0625
Bahamas,BHS,2005,9068.039
Bahamas,BHS,2006,8841.076
Bahamas,BHS,2007,8563.568
Bahamas,BHS,2008,8062.1377
Bahamas,BHS,2009,8990.284
Bahamas,BHS,2010,10386.389
Bahamas,BHS,2011,11199.717
Bahamas,BHS,2012,11801.41
Bahamas,BHS,2013,12378.779
Bahamas,BHS,2014,12530.291
Bahamas,BHS,2015,11754.311
Bahamas,BHS,2016,12035.779
Bahamas,BHS,2017,11738.554
Bahamas,BHS,2018,12415.684
Bahamas,BHS,2019,13456.495
Bahamas,BHS,2020,3331.0535
Bahamas,BHS,2021,2966.2678
Bahrain,BHR,1995,1492.8027
Bahrain,BHR,1996,1243.7516
Bahrain,BHR,1997,1515.3582
Bahrain,BHR,1998,1870.6765
Bahrain,BHR,1999,1821.891
Bahrain,BHR,2000,2036.6971
Bahrain,BHR,2001,2189.622
Bahrain,BHR,2002,2223.612
Bahrain,BHR,2003,2427.2095
Bahrain,BHR,2004,2583.2258
Bahrain,BHR,2005,2659.8577
Bahrain,BHR,2006,2852.7703
Bahrain,BHR,2007,2785.0789
Bahrain,BHR,2015,4188.9443
Bahrain,BHR,2016,4375.4985
Bahrain,BHR,2017,4805.5933
Bahrain,BHR,2018,5162.2153
Bahrain,BHR,2019,4826.679
Bahrain,BHR,2020,732.329
Bahrain,BHR,2021,977.2659
Barbados,BRB,1995,1848.9644
Barbados,BRB,1996,1940.5802
Barbados,BRB,1997,1967.8309
Barbados,BRB,1998,1923.0259
Barbados,BRB,1999,1639.0278
Barbados,BRB,2000,2013.8818
Barbados,BRB,2001,1989.5698
Barbados,BRB,2002,1962.7196
Barbados,BRB,2003,2089.6494
Barbados,BRB,2004,2685.1487
Barbados,BRB,2005,2089.1392
Barbados,BRB,2006,1993.0779
Barbados,BRB,2007,2269.211
Barbados,BRB,2008,2189.6445
Barbados,BRB,2009,2319.2026
Barbados,BRB,2010,2420.6729
Barbados,BRB,2011,2246.816
Barbados,BRB,2012,1871.7845
Barbados,BRB,2013,2058.7056
Barbados,BRB,2014,2010.8036
Barbados,BRB,2015,2110.7896
Barbados,BRB,2016,2135.2185
Barbados,BRB,2017,2439.1206
Barbados,BRB,2018,2416.858
Barbados,BRB,2019,1581.0531
Barbados,BRB,2020,1205.5404
Barbados,BRB,2021,341.38916
Belarus,BLR,2015,18.040104
Belarus,BLR,2016,9.8886385
Belarus,BLR,2017,14.009247
Belarus,BLR,2018,20.421692
Belarus,BLR,2019,23.568398
Belarus,BLR,2020,4.878684
Belarus,BLR,2021,2.8189094
Belize,BLZ,1995,1036.4883
Belize,BLZ,1996,1029.2723
Belize,BLZ,1997,732.29034
Belize,BLZ,1998,551.3145
Belize,BLZ,1999,683.1364
Belize,BLZ,2000,740.37103
Belize,BLZ,2001,761.76196
Belize,BLZ,2002,1929.6875
Belize,BLZ,2003,2946.9028
Belize,BLZ,2004,4034.673
Belize,BLZ,2005,2853.2095
Belize,BLZ,2006,2271.901
Belize,BLZ,2007,2116.548
Belize,BLZ,2008,1966.0634
Belize,BLZ,2009,2256.6826
Belize,BLZ,2010,2520.8389
Belize,BLZ,2011,2597.513
Belize,BLZ,2012,2228.0437
Belize,BLZ,2013,2112.012
Belize,BLZ,2014,2747.323
Belize,BLZ,2015,2661.9688
Belize,BLZ,2016,2735.982
Belize,BLZ,2017,2706.1504
Belize,BLZ,2018,3161.6746
Belize,BLZ,2019,3009.4858
Belize,BLZ,2020,868.75934
Belize,BLZ,2021,544.9496
Benin,BEN,2011,1.1309444
Benin,BEN,2012,1.1983119
Benin,BEN,2013,2.0371084
Benin,BEN,2014,2.166777
Benin,BEN,2015,2.195231
Benin,BEN,2016,2.2202308
Benin,BEN,2017,2.2420006
Benin,BEN,2018,2.2611763
Benin,BEN,2019,2.278193
Benin,BEN,2020,2.2937374
Bermuda,BMU,1995,2857.8152
Bermuda,BMU,1996,3040.58
Bermuda,BMU,1997,3020.8472
Bermuda,BMU,1998,3101.082
Bermuda,BMU,1999,3180.1194
Bermuda,BMU,2000,3371.8848
Bermuda,BMU,2001,2913.3284
Bermuda,BMU,2002,3217.7102
Bermuda,BMU,2003,3616.5786
Bermuda,BMU,2004,3282.3977
Bermuda,BMU,2005,3921.88
Bermuda,BMU,2006,5325.2188
Bermuda,BMU,2007,5602.95
Bermuda,BMU,2008,4519.8096
Bermuda,BMU,2009,5017.7515
Bermuda,BMU,2010,5483.251
Bermuda,BMU,2011,6545.6147
Bermuda,BMU,2012,5945.1724
Bermuda,BMU,2013,5352.055
Bermuda,BMU,2014,5617.357
Bermuda,BMU,2015,5968.495
Bermuda,BMU,2016,6308.448
Bermuda,BMU,2017,6603.997
Bermuda,BMU,2018,7611.14
Bermuda,BMU,2019,8396.911
Bermuda,BMU,2020,145.1968
Bermuda,BMU,2021,196.22195
Botswana,BWA,1995,74.49918
Botswana,BWA,1996,91.013954
Botswana,BWA,1997,97.569534
Botswana,BWA,1998,114.7546
Botswana,BWA,1999,115.86931
Botswana,BWA,2000,116.96638
Botswana,BWA,2001,145.86195
Botswana,BWA,2002,117.53977
Botswana,BWA,2003,102.36109
Botswana,BWA,2004,109.731285
Botswana,BWA,2005,110.94563
Botswana,BWA,2006,111.99172
Botswana,BWA,2007,116.42213
Botswana,BWA,2008,121.05681
Botswana,BWA,2015,57.262413
Botswana,BWA,2016,58.663017
Botswana,BWA,2017,63.284603
Botswana,BWA,2018,71.79539
Botswana,BWA,2020,11.6635065
British Virgin Islands,VGB,1995,8251.851
British Virgin Islands,VGB,1996,9259.259
British Virgin Islands,VGB,1997,6501.881
British Virgin Islands,VGB,1998,5915.9204
British Virgin Islands,VGB,1999,10198.878
British Virgin Islands,VGB,2000,12272.682
British Virgin Islands,VGB,2001,11554.267
British Virgin Islands,VGB,2002,12295.852
British Virgin Islands,VGB,2003,15269.951
British Virgin Islands,VGB,2004,22383.465
British Virgin Islands,VGB,2005,20533.969
British Virgin Islands,VGB,2006,19265.527
British Virgin Islands,VGB,2007,23398.771
British Virgin Islands,VGB,2008,22495.123
British Virgin Islands,VGB,2009,20246.057
British Virgin Islands,VGB,2010,18565.523
British Virgin Islands,VGB,2011,17617.209
British Virgin Islands,VGB,2012,14135.021
British Virgin Islands,VGB,2013,13098.351
British Virgin Islands,VGB,2014,13327.586
British Virgin Islands,VGB,2015,17996.87
British Virgin Islands,VGB,2016,24090.312
British Virgin Islands,VGB,2019,19343.148
Brunei,BRN,2016,58.685307
Brunei,BRN,2017,25.564154
Brunei,BRN,2018,43.750275
Brunei,BRN,2019,34.242043
Brunei,BRN,2020,3.3956933
Bulgaria,BGR,1995,535.412
Bulgaria,BGR,1996,478.0166
Bulgaria,BGR,1997,548.50574
Bulgaria,BGR,1998,312.44937
Bulgaria,BGR,1999,316.5775
Bulgaria,BGR,2000,263.90228
Bulgaria,BGR,2001,238.70973
Bulgaria,BGR,2002,267.09122
Bulgaria,BGR,2003,276.9728
Bulgaria,BGR,2004,299.03445
Bulgaria,BGR,2005,312.85104
Bulgaria,BGR,2006,301.44064
Bulgaria,BGR,2007,333.46136
Bulgaria,BGR,2008,358.70117
Bulgaria,BGR,2009,279.51193
Bulgaria,BGR,2010,306.4959
Bulgaria,BGR,2011,316.18182
Bulgaria,BGR,2012,310.61594
Bulgaria,BGR,2013,308.69974
Bulgaria,BGR,2014,284.58487
Bulgaria,BGR,2015,303.4509
Bulgaria,BGR,2016,324.5937
Bulgaria,BGR,2017,377.72733
Bulgaria,BGR,2018,434.84833
Bulgaria,BGR,2019,677.345
Bulgaria,BGR,2020,527.71234
Bulgaria,BGR,2021,709.8601
Cameroon,CMR,2008,0.37279487
Cameroon,CMR,2009,0.15528533
Cameroon,CMR,2010,0.20122704
Cameroon,CMR,2011,0.19560973
Cameroon,CMR,2012,0.23772524
Canada,CAN,1995,844.1612
Canada,CAN,1996,877.5808
Canada,CAN,1997,917.1511
Canada,CAN,1998,968.4584
Canada,CAN,1999,975.1388
Canada,CAN,2000,945.49756
Canada,CAN,2001,885.9854
Canada,CAN,2002,793.01074
Canada,CAN,2003,675.81805
Canada,CAN,2004,617.32904
Canada,CAN,2005,539.7643
Canada,CAN,2006,464.92877
Canada,CAN,2007,378.4866
Canada,CAN,2008,307.90033
Canada,CAN,2009,266.68515
Canada,CAN,2010,276.82727
Canada,CAN,2011,263.66748
Canada,CAN,2012,258.67728
Canada,CAN,2013,259.75586
Canada,CAN,2014,254.79729
Canada,CAN,2015,268.05014
Canada,CAN,2016,281.6396
Canada,CAN,2017,278.9819
Canada,CAN,2018,273.79312
Canada,CAN,2019,274.07495
Canada,CAN,2020,55.636635
Canada,CAN,2021,31.972208
Cayman Islands,CYM,1995,20808.58
Cayman Islands,CYM,1996,23380.875
Cayman Islands,CYM,1997,24351.88
Cayman Islands,CYM,1998,23560.28
Cayman Islands,CYM,1999,27036.195
Cayman Islands,CYM,2000,25980.898
Cayman Islands,CYM,2001,29581.477
Cayman Islands,CYM,2002,37076.27
Cayman Islands,CYM,2003,41453.02
Cayman Islands,CYM,2004,37363.996
Cayman Islands,CYM,2005,38481.285
Cayman Islands,CYM,2006,40042.324
Cayman Islands,CYM,2007,34550.8
Cayman Islands,CYM,2008,30367.62
Cayman Islands,CYM,2009,28886.355
Cayman Islands,CYM,2010,29540.623
Cayman Islands,CYM,2011,25237.332
Cayman Islands,CYM,2012,26492.512
Cayman Islands,CYM,2013,23629.62
Cayman Islands,CYM,2014,27022.49
Cayman Islands,CYM,2015,28177.566
Cayman Islands,CYM,2016,27491.408
Cayman Islands,CYM,2017,27169.385
Cayman Islands,CYM,2018,29597.559
Cayman Islands,CYM,2019,27678.68
Cayman Islands,CYM,2020,7990.8506
Chile,CHL,2001,50.309288
Chile,CHL,2002,51.10299
Chile,CHL,2003,55.236378
Chile,CHL,2004,63.616066
Chile,CHL,2005,59.287872
Chile,CHL,2006,58.58739
Chile,CHL,2007,44.921227
Chile,CHL,2008,60.198795
Chile,CHL,2009,53.28676
Chile,CHL,2010,46.10635
Chile,CHL,2011,48.097168
Chile,CHL,2012,48.610954
Chile,CHL,2013,50.31432
Chile,CHL,2014,52.35452
Chile,CHL,2015,56.46296
Chile,CHL,2016,59.279312
Chile,CHL,2017,63.750156
Chile,CHL,2018,47.05517
Chile,CHL,2019,47.95298
Chile,CHL,2020,9.916935
Chile,CHL,2021,0.07694998
Colombia,COL,1995,0.9452294
Colombia,COL,1996,3.2757728
Colombia,COL,1997,3.1910374
Colombia,COL,1998,3.9267964
Colombia,COL,1999,4.639104
Colombia,COL,2000,3.8250537
Colombia,COL,2001,4.317499
Colombia,COL,2002,2.3236237
Colombia,COL,2003,1.0473069
Colombia,COL,2004,1.1765194
Colombia,COL,2005,1.1368765
Colombia,COL,2006,1.1923435
Colombia,COL,2007,2.932579
Colombia,COL,2008,5.20366
Colombia,COL,2009,6.4313884
Colombia,COL,2010,6.6047688
Colombia,COL,2011,6.908136
Colombia,COL,2012,5.5479813
Colombia,COL,2013,6.6395707
Colombia,COL,2014,6.726946
Colombia,COL,2015,5.772529
Colombia,COL,2016,6.4250674
Colombia,COL,2017,7.1352243
Colombia,COL,2018,7.6709266
Colombia,COL,2019,7.212965
Colombia,COL,2020,2.6310284
Colombia,COL,2021,0.36881346
Congo,COG,2010,1.1266633
Congo,COG,2011,1.3088368
Congo,COG,2012,0.63650215
Congo,COG,2013,0.41424394
Congo,COG,2014,0.60669
Congo,COG,2015,0.7898286
Congo,COG,2016,0.38559198
Congo,COG,2017,0.37648144
Congo,COG,2018,0.36757538
Costa Rica,CRI,1995,38.90446
Costa Rica,CRI,1996,43.48736
Costa Rica,CRI,1997,53.75158
Costa Rica,CRI,1998,58.616833
Costa Rica,CRI,1999,60.23431
Costa Rica,CRI,2000,47.748425
Costa Rica,CRI,2001,46.62956
Costa Rica,CRI,2002,53.849148
Costa Rica,CRI,2003,65.65425
Costa Rica,CRI,2004,74.774216
Costa Rica,CRI,2005,64.87648
Costa Rica,CRI,2006,79.02845
Costa Rica,CRI,2007,72.52215
Costa Rica,CRI,2008,71.080765
Costa Rica,CRI,2009,84.59104
Costa Rica,CRI,2010,85.456215
Costa Rica,CRI,2011,71.36864
Costa Rica,CRI,2012,42.01332
Costa Rica,CRI,2013,44.45334
Costa Rica,CRI,2014,48.097836
Costa Rica,CRI,2015,48.82293
Costa Rica,CRI,2016,56.41829
Costa Rica,CRI,2017,54.266758
Costa Rica,CRI,2018,58.72156
Costa Rica,CRI,2019,44.645252
Costa Rica,CRI,2020,26.273119
Costa Rica,CRI,2021,5.432717
Cuba,CUB,1995,0.2745566
Cuba,CUB,1996,0.45607805
Cuba,CUB,1997,1.5457174
Cuba,CUB,1998,2.3564038
Cuba,CUB,1999,3.794006
Cuba,CUB,2000,2.9714205
Cuba,CUB,2001,3.501171
Cuba,CUB,2002,2.6857524
Cuba,CUB,2003,5.2682266
Cuba,CUB,2004,2.8507044
Cuba,CUB,2005,5.1573377
Cuba,CUB,2006,6.30515
Cuba,CUB,2007,2.9281564
Cuba,CUB,2008,2.837733
Cuba,CUB,2009,2.2156866
Cuba,CUB,2010,2.2142665
Cuba,CUB,2011,2.4781582
Cuba,CUB,2012,2.1221488
Cuba,CUB,2013,2.031518
Cuba,CUB,2014,2.9120996
Cuba,CUB,2015,2.998266
Cuba,CUB,2016,2.9977045
Curacao,CUW,1995,1142.068
Curacao,CUW,1996,1161.4246
Curacao,CUW,1997,1474.5854
Curacao,CUW,1998,1645.2803
Curacao,CUW,1999,1640.3512
Curacao,CUW,2000,2276.6963
Curacao,CUW,2001,2232.603
Curacao,CUW,2002,2312.6865
Curacao,CUW,2003,1998.3091
Curacao,CUW,2004,1578.3307
Curacao,CUW,2005,1955.5254
Curacao,CUW,2006,2258.2866
Curacao,CUW,2007,2392.6118
Curacao,CUW,2008,2354.4937
Curacao,CUW,2009,2808.5952
Curacao,CUW,2010,2635.013
Curacao,CUW,2011,2764.7034
Curacao,CUW,2012,2970.2366
Curacao,CUW,2013,3791.8
Curacao,CUW,2014,4028.9465
Curacao,CUW,2015,3561.5728
Curacao,CUW,2016,2939.9363
Curacao,CUW,2017,3841.6023
Curacao,CUW,2018,4211.461
Curacao,CUW,2019,4292.69
Curacao,CUW,2020,1378.7784
Curacao,CUW,2021,805.8924
Cyprus,CYP,1995,177.40796
Cyprus,CYP,1996,157.94305
Cyprus,CYP,1997,118.10901
Cyprus,CYP,1998,146.5014
Cyprus,CYP,1999,153.49738
Cyprus,CYP,2000,238.33679
Cyprus,CYP,2001,149.24785
Cyprus,CYP,2002,78.39528
Cyprus,CYP,2003,112.9599
Cyprus,CYP,2004,126.63348
Cyprus,CYP,2005,180.3157
Cyprus,CYP,2006,216.02263
Cyprus,CYP,2007,237.45781
Cyprus,CYP,2008,207.79897
Cyprus,CYP,2009,206.12451
Cyprus,CYP,2010,245.19936
Cyprus,CYP,2011,204.35075
Cyprus,CYP,2012,146.98813
Cyprus,CYP,2013,189.37901
Cyprus,CYP,2014,124.89412
Cyprus,CYP,2015,101.9131
Cyprus,CYP,2016,83.48019
Cyprus,CYP,2017,81.090454
Cyprus,CYP,2018,69.738785
Cyprus,CYP,2019,113.92858
Czechia,CZE,2003,1216.5254
Czechia,CZE,2004,1438.5533
Czechia,CZE,2005,1492.4921
Czechia,CZE,2006,1510.3608
Czechia,CZE,2007,1282.1838
Czechia,CZE,2008,1202.1869
Czechia,CZE,2009,1385.3073
Czechia,CZE,2010,1272.0801
Czechia,CZE,2011,1313.9769
Czechia,CZE,2012,1486.719
Czechia,CZE,2013,1524.7448
Czechia,CZE,2014,1570.5734
Czechia,CZE,2015,1708.9833
Czechia,CZE,2016,1872.3195
Czechia,CZE,2017,1997.4713
Czechia,CZE,2018,2087.0183
Czechia,CZE,2019,2140.198
Czechia,CZE,2020,602.7281
Democratic Republic of Congo,COD,1995,1.1551136
Democratic Republic of Congo,COD,1999,0.42348444
Democratic Republic of Congo,COD,2000,0.41138443
Democratic Republic of Congo,COD,2001,0.39914852
Democratic Republic of Congo,COD,2002,0.38713115
Democratic Republic of Congo,COD,2003,0.3759
Democratic Republic of Congo,COD,2011,0.1602231
Denmark,DNK,2003,3269.7998
Denmark,DNK,2004,3255.9744
Denmark,DNK,2005,3264.896
Denmark,DNK,2006,3239.363
Denmark,DNK,2007,3258.1946
Denmark,DNK,2008,3244.5583
Denmark,DNK,2009,3261.4036
Denmark,DNK,2010,3240.2244
Denmark,DNK,2011,3218.6062
Denmark,DNK,2012,3206.4175
Denmark,DNK,2013,3192.488
Denmark,DNK,2014,3150.6086
Denmark,DNK,2015,3132.378
Denmark,DNK,2016,3138.5056
Denmark,DNK,2017,3191.4045
Denmark,DNK,2018,3130.3926
Denmark,DNK,2019,3164.3174
Denmark,DNK,2020,1682.5625
Denmark,DNK,2021,1847.7188
Dominica,DMA,1995,2065.7576
Dominica,DMA,1996,2862.016
Dominica,DMA,1997,3386.5925
Dominica,DMA,1998,3567.4407
Dominica,DMA,1999,2997.977
Dominica,DMA,2000,3539.823
Dominica,DMA,2001,3080.4888
Dominica,DMA,2002,2035.7054
Dominica,DMA,2003,2643.9956
Dominica,DMA,2004,5642.1396
Dominica,DMA,2005,4411.3794
Dominica,DMA,2006,5540.9316
Dominica,DMA,2007,5175.246
Dominica,DMA,2008,5625.4907
Dominica,DMA,2009,7746.5303
Dominica,DMA,2010,7546.3467
Dominica,DMA,2011,4973.967
Dominica,DMA,2012,3903.7556
Dominica,DMA,2013,3384.7092
Dominica,DMA,2014,4164.9854
Dominica,DMA,2015,4041.2983
Dominica,DMA,2016,3965.8765
Dominica,DMA,2017,2243.617
Dominica,DMA,2018,1919.8193
Dominica,DMA,2019,3247.2078
Dominica,DMA,2020,1638.6385
Dominica,DMA,2021,704.0795
Dominican Republic,DOM,1995,3.8120632
Dominican Republic,DOM,1996,13.853674
Dominican Republic,DOM,1997,33.251217
Dominican Republic,DOM,1998,47.45159
Dominican Republic,DOM,1999,33.644894
Dominican Republic,DOM,2000,21.42659
Dominican Republic,DOM,2001,23.993435
Dominican Republic,DOM,2002,28.083807
Dominican Republic,DOM,2003,44.61955
Dominican Republic,DOM,2004,50.535572
Dominican Republic,DOM,2005,31.64291
Dominican Republic,DOM,2006,32.6362
Dominican Republic,DOM,2007,40.947823
Dominican Republic,DOM,2008,49.879482
Dominican Republic,DOM,2009,51.51294
Dominican Republic,DOM,2010,36.109737
Dominican Republic,DOM,2011,35.13823
Dominican Republic,DOM,2012,33.69593
Dominican Republic,DOM,2013,41.74439
Dominican Republic,DOM,2014,42.306465
Dominican Republic,DOM,2015,50.836876
Dominican Republic,DOM,2016,76.8457
Dominican Republic,DOM,2017,104.06446
Dominican Republic,DOM,2018,91.21704
Dominican Republic,DOM,2019,101.453
Dominican Republic,DOM,2020,31.18276
Dominican Republic,DOM,2021,29.951773
Egypt,EGY,1995,4.0831017
Egypt,EGY,1996,5.612734
Egypt,EGY,1997,4.5526648
Egypt,EGY,1998,3.5210235
Egypt,EGY,1999,4.391493
Egypt,EGY,2000,5.464376
Egypt,EGY,2001,3.9942758
Egypt,EGY,2002,3.8444085
Egypt,EGY,2003,3.9229455
Egypt,EGY,2004,3.9859436
Egypt,EGY,2005,4.5905604
Egypt,EGY,2006,5.4198413
Egypt,EGY,2007,5.8502464
Egypt,EGY,2008,6.440472
Egypt,EGY,2009,7.274763
Egypt,EGY,2010,7.7934804
Egypt,EGY,2011,3.9013429
Egypt,EGY,2012,3.6825798
Egypt,EGY,2013,3.10566
Egypt,EGY,2014,2.608996
Egypt,EGY,2015,1.9340224
Egypt,EGY,2016,1.4130517
Egypt,EGY,2017,1.3360922
