Entity,Code,Year,Outbound Tourism Expenditure (adjusted for US 2021 inflation)
Argentina,ARG,1995,5828976000
Argentina,ARG,1996,6191619600
Argentina,ARG,1997,6688291000
Argentina,ARG,1998,7031554600
Argentina,ARG,1999,6824061400
Argentina,ARG,2000,6963072500
Argentina,ARG,2001,5957559300
Argentina,ARG,2002,3506977300
Argentina,ARG,2003,3698691300
Argentina,ARG,2004,3735666700
Argentina,ARG,2005,3871162000
Argentina,ARG,2006,4177622500
Argentina,ARG,2007,5142536000
Argentina,ARG,2008,5771727000
Argentina,ARG,2009,5729169000
Argentina,ARG,2010,6152430000
Argentina,ARG,2011,6826670000
Argentina,ARG,2012,7219364000
Argentina,ARG,2013,6899951600
Argentina,ARG,2014,6848180700
Argentina,ARG,2015,7982173000
Argentina,ARG,2016,10927657000
Argentina,ARG,2017,12577916000
Argentina,ARG,2018,11514013000
Argentina,ARG,2019,8320167400
Argentina,ARG,2020,3028908800
Argentina,ARG,2021,1366000000
Australia,AUS,1995,9184461000
Australia,AUS,1996,10227229000
Australia,AUS,1997,10569256000
Australia,AUS,1998,9857475000
Australia,AUS,1999,10054714000
Australia,AUS,2000,10052002000
Australia,AUS,2001,8776420000
Australia,AUS,2002,8982864000
Australia,AUS,2003,10807367000
Australia,AUS,2004,15302747000
Australia,AUS,2005,16301893000
Australia,AUS,2006,16851627000
Australia,AUS,2007,21503250000
Australia,AUS,2008,24689046000
Australia,AUS,2009,23666926000
Australia,AUS,2010,28032016000
Australia,AUS,2011,32972083000
Australia,AUS,2012,33138022000
Australia,AUS,2013,39675884000
Australia,AUS,2014,38097080000
Australia,AUS,2015,33371476000
Australia,AUS,2016,34817446000
Australia,AUS,2017,38105182000
Australia,AUS,2018,39876040000
Australia,AUS,2019,38122267000
Australia,AUS,2020,6958219300
Australia,AUS,2021,972000000
Austria,AUT,1995,19359386000
Austria,AUT,1996,19029211000
Austria,AUT,1997,16985761000
Austria,AUT,1998,15926554000
Austria,AUT,1999,10942899000
Austria,AUT,2000,9806523000
Austria,AUT,2001,10068015000
Austria,AUT,2002,10395899000
Austria,AUT,2003,12701638000
Austria,AUT,2004,13251288000
Austria,AUT,2005,12926073000
Austria,AUT,2006,12941490000
Austria,AUT,2007,13799248000
Austria,AUT,2008,14395337000
Austria,AUT,2009,13673719000
Austria,AUT,2010,12575760000
Austria,AUT,2011,12716134000
Austria,AUT,2012,11786789000
Austria,AUT,2013,11926028000
Austria,AUT,2014,12699408000
Austria,AUT,2015,10665382000
Austria,AUT,2016,11032656000
Austria,AUT,2017,11903586000
Austria,AUT,2018,12725843000
Austria,AUT,2019,12283110000
Austria,AUT,2020,4694651400
Austria,AUT,2021,7351000000
Belgium,BEL,1995,14430183000
Belgium,BEL,1996,14841574000
Belgium,BEL,1997,13327626000
Belgium,BEL,1998,13815426000
Belgium,BEL,1999,15901120000
Belgium,BEL,2000,14837246000
Belgium,BEL,2001,14960468000
Belgium,BEL,2002,15343026000
Belgium,BEL,2003,17985274000
Belgium,BEL,2004,20021107000
Belgium,BEL,2005,20740547000
Belgium,BEL,2006,20933814000
Belgium,BEL,2007,22872850000
Belgium,BEL,2008,24570740000
Belgium,BEL,2009,23999105000
Belgium,BEL,2010,23439130000
Belgium,BEL,2011,24902228000
Belgium,BEL,2012,23800179000
Belgium,BEL,2013,25772460000
Belgium,BEL,2014,27264526000
Belgium,BEL,2015,15609938000
Belgium,BEL,2016,16301731000
Belgium,BEL,2017,17245166000
Belgium,BEL,2018,19900790000
Belgium,BEL,2019,19785042000
Belgium,BEL,2020,13574077000
Belgium,BEL,2021,14624001000
Brazil,BRA,1995,6029914000
Brazil,BRA,1996,7578860000
Brazil,BRA,1997,9147866000
Brazil,BRA,1998,8951518000
Brazil,BRA,1999,5018410000
Brazil,BRA,2000,6127504000
Brazil,BRA,2001,4895513000
Brazil,BRA,2002,3609414700
Brazil,BRA,2003,3330442200
Brazil,BRA,2004,4118701600
Brazil,BRA,2005,6549062000
Brazil,BRA,2006,7747689000
Brazil,BRA,2007,10730715000
Brazil,BRA,2008,13796264000
Brazil,BRA,2009,13764657000
Brazil,BRA,2010,19839132000
Brazil,BRA,2011,25058832000
Brazil,BRA,2012,26010716000
Brazil,BRA,2013,29111933000
Brazil,BRA,2014,29264155000
Brazil,BRA,2015,19843396000
Brazil,BRA,2016,16367215000
Brazil,BRA,2017,21005937000
Brazil,BRA,2018,19710867000
Brazil,BRA,2019,18646714000
Brazil,BRA,2020,5647402000
Brazil,BRA,2021,5250000000
Bulgaria,BGR,1995,346751170
Bulgaria,BGR,1996,343786900
Bulgaria,BGR,1997,374760400
Bulgaria,BGR,1998,862736830
Bulgaria,BGR,1999,855651100
Bulgaria,BGR,2000,846583800
Bulgaria,BGR,2001,901362050
Bulgaria,BGR,2002,1080112900
Bulgaria,BGR,2003,1521604100
Bulgaria,BGR,2004,1955343100
Bulgaria,BGR,2005,1816254600
Bulgaria,BGR,2006,1986655900
Bulgaria,BGR,2007,2456917000
Bulgaria,BGR,2008,2908517400
Bulgaria,BGR,2009,2216642800
Bulgaria,BGR,2010,1026440600
Bulgaria,BGR,2011,1088990600
Bulgaria,BGR,2012,1089336700
Bulgaria,BGR,2013,1294613200
Bulgaria,BGR,2014,1375817000
Bulgaria,BGR,2015,1275867300
Bulgaria,BGR,2016,1536578300
Bulgaria,BGR,2017,1873753500
Bulgaria,BGR,2018,2015761500
Bulgaria,BGR,2019,1934306400
Bulgaria,BGR,2020,1097233500
Bulgaria,BGR,2021,1287000000
Canada,CAN,1995,18244446000
Canada,CAN,1996,19442098000
Canada,CAN,1997,19379501000
Canada,CAN,1998,18034358000
Canada,CAN,1999,18705574000
Canada,CAN,2000,19572136000
Canada,CAN,2001,18304231000
Canada,CAN,2002,17658415000
Canada,CAN,2003,19645338000
Canada,CAN,2004,22270540000
Canada,CAN,2005,25012700000
Canada,CAN,2006,27711025000
Canada,CAN,2007,32205218000
Canada,CAN,2008,34264120000
Canada,CAN,2009,30553040000
Canada,CAN,2010,37251342000
Canada,CAN,2011,40233628000
Canada,CAN,2012,43847274000
Canada,CAN,2013,44068033000
Canada,CAN,2014,43117322000
Canada,CAN,2015,38825923000
Canada,CAN,2016,36932076000
Canada,CAN,2017,38297534000
Canada,CAN,2018,37320724000
Canada,CAN,2019,37458770000
Canada,CAN,2020,12645408000
Canada,CAN,2021,7666000400
Chile,CHL,1995,1250082400
Chile,CHL,1996,1271493200
Chile,CHL,1997,1416324100
Chile,CHL,1998,1476127700
Chile,CHL,1999,1223288300
Chile,CHL,2000,975616960
Chile,CHL,2001,1083470800
Chile,CHL,2002,1013829800
Chile,CHL,2003,1252046100
Chile,CHL,2004,1401592300
Chile,CHL,2005,1123885600
Chile,CHL,2006,1215113000
Chile,CHL,2007,1340849400
Chile,CHL,2008,1251002200
Chile,CHL,2009,1482814100
Chile,CHL,2010,1631617900
Chile,CHL,2011,2003309200
Chile,CHL,2012,2221161000
Chile,CHL,2013,2226316000
Chile,CHL,2014,2431144200
Chile,CHL,2015,2271180800
Chile,CHL,2016,2430751700
Chile,CHL,2017,2574614800
Chile,CHL,2018,2582289700
Chile,CHL,2019,2606279200
Chile,CHL,2020,565368450
Chile,CHL,2021,301000000
Colombia,COL,1995,1561269400
Colombia,COL,1996,1929698300
Colombia,COL,1997,2040924500
Colombia,COL,1998,1861782800
Colombia,COL,1999,1647860400
Colombia,COL,2000,1667990300
Colombia,COL,2001,1781299500
Colombia,COL,2002,1619416200
Colombia,COL,2003,1564321000
Colombia,COL,2004,1699986400
Colombia,COL,2005,2079882200
Colombia,COL,2006,2271616000
Colombia,COL,2007,2488281900
Colombia,COL,2008,2739871000
Colombia,COL,2009,2844375800
Colombia,COL,2010,3281875700
Colombia,COL,2011,3652455400
Colombia,COL,2012,4279452400
Colombia,COL,2013,4584070700
Colombia,COL,2014,5360192000
Colombia,COL,2015,4936554500
Colombia,COL,2016,4802795500
Colombia,COL,2017,4946930000
Colombia,COL,2018,5162421000
Colombia,COL,2019,5230576600
Colombia,COL,2020,1421796900
Colombia,COL,2021,2626000000
Costa Rica,CRI,1995,574362200
Costa Rica,CRI,1996,580464300
Costa Rica,CRI,1997,587462200
Costa Rica,CRI,1998,679883200
Costa Rica,CRI,1999,727140740
Costa Rica,CRI,2000,753742800
Costa Rica,CRI,2001,550917400
Costa Rica,CRI,2002,513693860
Costa Rica,CRI,2003,514075400
Costa Rica,CRI,2004,575269700
Costa Rica,CRI,2005,642418600
Costa Rica,CRI,2006,643848600
Costa Rica,CRI,2007,816794240
Costa Rica,CRI,2008,737512450
Costa Rica,CRI,2009,458485120
Costa Rica,CRI,2010,519433600
Costa Rica,CRI,2011,481854270
Costa Rica,CRI,2012,498049920
Costa Rica,CRI,2013,494349220
Costa Rica,CRI,2014,515072900
Costa Rica,CRI,2015,788842700
Costa Rica,CRI,2016,906592500
Costa Rica,CRI,2017,1154099600
Costa Rica,CRI,2018,904287000
Costa Rica,CRI,2019,1098050200
Costa Rica,CRI,2020,254415780
Costa Rica,CRI,2021,566000000
Croatia,HRV,1995,750405100
Croatia,HRV,1996,881061950
Croatia,HRV,1997,894698200
Croatia,HRV,1998,997383700
Croatia,HRV,1999,1221661400
Croatia,HRV,2000,893791040
Croatia,HRV,2001,927377600
Croatia,HRV,2002,1176524500
Croatia,HRV,2003,989852860
Croatia,HRV,2004,1216530300
Croatia,HRV,2005,1046184960
Croatia,HRV,2006,990639600
Croatia,HRV,2007,1287267700
Croatia,HRV,2008,1413355800
Croatia,HRV,2009,1280727000
Croatia,HRV,2010,1033896600
Croatia,HRV,2011,1061284100
Croatia,HRV,2012,1092877300
Croatia,HRV,2013,1050346600
Croatia,HRV,2014,968337000
Croatia,HRV,2015,863153900
Croatia,HRV,2016,1066911550
Croatia,HRV,2017,1513373700
Croatia,HRV,2018,1826918800
Croatia,HRV,2019,1869653000
Croatia,HRV,2020,811408400
Croatia,HRV,2021,1102000000
Cyprus,CYP,1995,586337860
Cyprus,CYP,1996,631071000
Cyprus,CYP,1997,649922240
Cyprus,CYP,1998,678220900
Cyprus,CYP,1999,701113340
Cyprus,CYP,2000,649886800
Cyprus,CYP,2001,654979600
Cyprus,CYP,2002,771294000
Cyprus,CYP,2003,900000100
Cyprus,CYP,2004,1163450600
Cyprus,CYP,2005,1293162200
Cyprus,CYP,2006,1299794400
Cyprus,CYP,2007,1932862000
Cyprus,CYP,2008,2096750200
Cyprus,CYP,2009,1774577300
Cyprus,CYP,2010,1640316700
Cyprus,CYP,2011,1645532400
Cyprus,CYP,2012,1555520900
Cyprus,CYP,2013,1458620900
Cyprus,CYP,2014,1537206500
Cyprus,CYP,2015,1234710300
Cyprus,CYP,2016,1264487700
Cyprus,CYP,2017,1523323000
Cyprus,CYP,2018,1693110100
Cyprus,CYP,2019,1732926600
Cyprus,CYP,2020,787327940
Cyprus,CYP,2021,882000060
Czechia,CZE,1995,2907375400
Czechia,CZE,1996,5113614300
Czechia,CZE,1997,3975498800
Czechia,CZE,1998,3171680000
Czechia,CZE,1999,2428682500
Czechia,CZE,2000,2007882600
Czechia,CZE,2001,2121032100
Czechia,CZE,2002,2405774300
Czechia,CZE,2003,2848772900
Czechia,CZE,2004,3270860300
Czechia,CZE,2005,3336969200
Czechia,CZE,2006,3716578600
Czechia,CZE,2007,4924289000
Czechia,CZE,2008,6146775000
Czechia,CZE,2009,5374254000
Czechia,CZE,2010,5283807700
Czechia,CZE,2011,5769000400
Czechia,CZE,2012,5277913000
Czechia,CZE,2013,5393641000
Czechia,CZE,2014,5875265000
Czechia,CZE,2015,5455590000
Czechia,CZE,2016,5554713600
Czechia,CZE,2017,6041335000
Czechia,CZE,2018,6444393500
Czechia,CZE,2019,6241715700
Czechia,CZE,2020,3540881400
Czechia,CZE,2021,3231000000
Democratic Republic of Congo,COD,2005,74925710
Democratic Republic of Congo,COD,2006,125006080
Democratic Republic of Congo,COD,2007,142448910
Democratic Republic of Congo,COD,2008,159836300
Democratic Republic of Congo,COD,2009,152828370
Democratic Republic of Congo,COD,2010,186399630
Democratic Republic of Congo,COD,2011,358981440
Democratic Republic of Congo,COD,2012,127463016
Democratic Republic of Congo,COD,2013,197739660
Democratic Republic of Congo,COD,2014,323923620
Democratic Republic of Congo,COD,2015,145192780
Democratic Republic of Congo,COD,2016,67740420
Democratic Republic of Congo,COD,2017,75171230
Democratic Republic of Congo,COD,2018,124096670
Democratic Republic of Congo,COD,2019,101749820
Democratic Republic of Congo,COD,2020,213583630
Democratic Republic of Congo,COD,2021,219000000
Denmark,DNK,1995,7624969700
Denmark,DNK,1996,7152149500
Denmark,DNK,1997,7079932400
Denmark,DNK,1998,7608374300
Denmark,DNK,1999,7969267000
Denmark,DNK,2000,7347025400
Denmark,DNK,2001,7438915000
Denmark,DNK,2002,8794559000
Denmark,DNK,2003,9808675000
Denmark,DNK,2004,10442365000
Denmark,DNK,2005,9504465000
Denmark,DNK,2006,10062319000
Denmark,DNK,2007,11539669000
Denmark,DNK,2008,12205452000
Denmark,DNK,2009,11326981000
Denmark,DNK,2010,11285877000
Denmark,DNK,2011,11853615000
Denmark,DNK,2012,11330046000
Denmark,DNK,2013,11715495000
Denmark,DNK,2014,11953125000
Denmark,DNK,2015,10195505000
Denmark,DNK,2016,10357508000
Denmark,DNK,2017,10837923000
Denmark,DNK,2018,11371571000
Denmark,DNK,2019,10638156000
Denmark,DNK,2020,5900771000
Denmark,DNK,2021,7468000000
Estonia,EST,1995,161817220
Estonia,EST,1996,174484820
Estonia,EST,1997,202573170
Estonia,EST,1998,257657440
Estonia,EST,1999,349743330
Estonia,EST,2000,321009470
Estonia,EST,2001,293822600
Estonia,EST,2002,347986180
Estonia,EST,2003,469885500
Estonia,EST,2004,572400500
Estonia,EST,2005,609118300
Estonia,EST,2006,787672770
Estonia,EST,2007,875603400
Estonia,EST,2008,1018169800
Estonia,EST,2009,764141800
Estonia,EST,2010,786606400
Estonia,EST,2011,970936300
Estonia,EST,2012,939449660
Estonia,EST,2013,1231801900
Estonia,EST,2014,1351780100
Estonia,EST,2015,1172974700
Estonia,EST,2016,1311906000
Estonia,EST,2017,1378507900
Estonia,EST,2018,1578725500
Estonia,EST,2019,1637536100
Estonia,EST,2020,620858300
Estonia,EST,2021,680000000
Finland,FIN,1995,4050765300
Finland,FIN,1996,3947502800
Finland,FIN,1997,3511268000
Finland,FIN,1998,3427675000
Finland,FIN,1999,3310361300
Finland,FIN,2000,2914262300
Finland,FIN,2001,2834164000
Finland,FIN,2002,3024918500
Finland,FIN,2003,3586743800
Finland,FIN,2004,4049841200
Finland,FIN,2005,4240240400
Finland,FIN,2006,4602374700
Finland,FIN,2007,5205266400
Finland,FIN,2008,5718867500
Finland,FIN,2009,5562447400
Finland,FIN,2010,5349669000
Finland,FIN,2011,5881031000
Finland,FIN,2012,5767701500
Finland,FIN,2013,6161336000
Finland,FIN,2014,6072137000
Finland,FIN,2015,5483028000
Finland,FIN,2016,5860675000
Finland,FIN,2017,6201626000
Finland,FIN,2018,6552304000
Finland,FIN,2019,6018078000
Finland,FIN,2020,1723326700
Finland,FIN,2021,1377000000
France,FRA,1995,29087977000
France,FRA,1996,30660956000
France,FRA,1997,29525040000
France,FRA,1998,31282938000
France,FRA,1999,40999678000
France,FRA,2000,35463680000
France,FRA,2001,34602200000
France,FRA,2002,35821486000
France,FRA,2003,41354342000
France,FRA,2004,42275865000
France,FRA,2005,43494370000
France,FRA,2006,43479270000
France,FRA,2007,49527783000
France,FRA,2008,51510084000
France,FRA,2009,46721274000
France,FRA,2010,47590310000
France,FRA,2011,53877326000
France,FRA,2012,47014970000
France,FRA,2013,49066193000
France,FRA,2014,55830467000
France,FRA,2015,45182394000
France,FRA,2016,45652520000
France,FRA,2017,48852455000
France,FRA,2018,53376670000
France,FRA,2019,53532066000
France,FRA,2020,29062031000
France,FRA,2021,34648000000
Germany,DEU,1995,107155005000
Germany,DEU,1996,102058074000
Germany,DEU,1997,90595790000
Germany,DEU,1998,90467680000
Germany,DEU,1999,90895840000
Germany,DEU,2000,83130430000
Germany,DEU,2001,79307620000
Germany,DEU,2002,79919320000
Germany,DEU,2003,96171860000
Germany,DEU,2004,102187114000
Germany,DEU,2005,102907690000
Germany,DEU,2006,99672860000
Germany,DEU,2007,108650630000
Germany,DEU,2008,115335110000
Germany,DEU,2009,102888860000
Germany,DEU,2010,96388490000
Germany,DEU,2011,103872120000
Germany,DEU,2012,98196090000
Germany,DEU,2013,106210620000
Germany,DEU,2014,106773460000
Germany,DEU,2015,88565300000
Germany,DEU,2016,90233620000
Germany,DEU,2017,99199500000
Germany,DEU,2018,102729376000
Germany,DEU,2019,98672950000
Germany,DEU,2020,40572520000
Germany,DEU,2021,47815004000
Greece,GRC,1995,2352573400
Greece,GRC,1996,2090362600
Greece,GRC,1997,2240121900
Greece,GRC,1998,2919009300
Greece,GRC,1999,6492212000
Greece,GRC,2000,7172358000
Greece,GRC,2001,6393702400
Greece,GRC,2002,3674191600
Greece,GRC,2003,3583797500
Greece,GRC,2004,4123005200
Greece,GRC,2005,4215265300
Greece,GRC,2006,4029766100
Greece,GRC,2007,4473419000
Greece,GRC,2008,4946115600
Greece,GRC,2009,4272879400
Greece,GRC,2010,3545320700
Greece,GRC,2011,3807853300
Greece,GRC,2012,2790023700
Greece,GRC,2013,2832330200
Greece,GRC,2014,3153390800
Greece,GRC,2015,2582602200
Greece,GRC,2016,2506395400
Greece,GRC,2017,2383370200
Greece,GRC,2018,2786240000
Greece,GRC,2019,3253874700
Greece,GRC,2020,940186750
Greece,GRC,2021,1306000000
Hungary,HUN,1995,2663760100
Hungary,HUN,1996,2560262400
Hungary,HUN,1997,2522036000
Hungary,HUN,1998,2453563600
Hungary,HUN,1999,2510018300
Hungary,HUN,2000,2597973800
Hungary,HUN,2001,2766829600
Hungary,HUN,2002,3213222700
Hungary,HUN,2003,3820949800
Hungary,HUN,2004,3473137000
Hungary,HUN,2005,3159367400
Hungary,HUN,2006,2525660700
Hungary,HUN,2007,3327292700
Hungary,HUN,2008,4058835500
Hungary,HUN,2009,3473372000
Hungary,HUN,2010,2987364600
Hungary,HUN,2011,2993519600
Hungary,HUN,2012,2225881900
Hungary,HUN,2013,2217010700
Hungary,HUN,2014,2330418700
Hungary,HUN,2015,2092148000
Hungary,HUN,2016,2445429200
Hungary,HUN,2017,2729379000
Hungary,HUN,2018,2847748900
Hungary,HUN,2019,2905169400
Hungary,HUN,2020,1213448200
Hungary,HUN,2021,1445000000
Iceland,ISL,1995,501455550
Iceland,ISL,1996,532092300
Iceland,ISL,1997,545259460
Iceland,ISL,1998,658273200
Iceland,ISL,1999,709246900
Iceland,ISL,2000,741154200
Iceland,ISL,2001,569281300
Iceland,ISL,2002,558886850
Iceland,ISL,2003,770376600
Iceland,ISL,2004,999907700
Iceland,ISL,2005,1359763000
Iceland,ISL,2006,1446307100
Iceland,ISL,2007,1732910600
Iceland,ISL,2008,1388184700
Iceland,ISL,2009,689622200
Iceland,ISL,2010,760510460
Iceland,ISL,2011,908295360
Iceland,ISL,2012,934728770
Iceland,ISL,2013,993351100
Iceland,ISL,2014,1103400600
Iceland,ISL,2015,1100949900
Iceland,ISL,2016,1374001300
Iceland,ISL,2017,1717883800
Iceland,ISL,2018,1824760600
Iceland,ISL,2019,1599380000
Iceland,ISL,2020,556992600
Iceland,ISL,2021,756000000
India,IND,1995,1771098400
India,IND,1996,1577273700
India,IND,1997,2265443300
India,IND,1998,2847530200
India,IND,1999,3269693200
India,IND,2000,4232918500
India,IND,2001,4600160000
India,IND,2002,4501223400
India,IND,2003,5280688000
India,IND,2004,6908974600
India,IND,2005,8584543000
India,IND,2006,9200717000
India,IND,2007,10741170000
India,IND,2008,12089666000
India,IND,2009,11758943000
India,IND,2010,13035547000
India,IND,2011,16502305000
India,IND,2012,14566189000
India,IND,2013,13510271000
India,IND,2014,16705533000
India,IND,2015,16963545000
India,IND,2016,18488617000
India,IND,2017,20387985000
India,IND,2018,23005364000
India,IND,2019,24287472000
India,IND,2020,13164709000
India,IND,2021,14280000000
Indonesia,IDN,1995,3862274800
Indonesia,IDN,1996,4144446200
Indonesia,IDN,1997,4070033000
Indonesia,IDN,1998,3494167300
Indonesia,IDN,1999,3827656000
Indonesia,IDN,2000,5030722000
Indonesia,IDN,2001,5212291000
Indonesia,IDN,2002,4954660000
Indonesia,IDN,2003,4539771400
Indonesia,IDN,2004,5031099400
Indonesia,IDN,2005,4972847000
Indonesia,IDN,2006,5416930300
Indonesia,IDN,2007,6408894000
Indonesia,IDN,2008,6990006300
Indonesia,IDN,2009,6714343400
Indonesia,IDN,2010,7946836500
Indonesia,IDN,2011,7534996500
Indonesia,IDN,2012,7991223000
Indonesia,IDN,2013,8927364000
Indonesia,IDN,2014,8792867000
Indonesia,IDN,2015,8336580600
Indonesia,IDN,2016,8542066000
Indonesia,IDN,2017,9163152000
Indonesia,IDN,2018,11129853000
Indonesia,IDN,2019,11985282000
Indonesia,IDN,2020,1830118500
Indonesia,IDN,2021,470999970
Ireland,IRL,1995,3616881700
Ireland,IRL,1996,3797204500
Ireland,IRL,1997,3730722600
Ireland,IRL,1998,5011853000
Ireland,IRL,1999,4279882200
Ireland,IRL,2000,3973278700
Ireland,IRL,2001,4373671400
Ireland,IRL,2002,5656658400
Ireland,IRL,2003,6976106000
Ireland,IRL,2004,7426860500
Ireland,IRL,2005,8426367000
Ireland,IRL,2006,9227600000
Ireland,IRL,2007,11310966000
Ireland,IRL,2008,13110353000
Ireland,IRL,2009,9884585000
Ireland,IRL,2010,8784393000
Ireland,IRL,2011,8104788500
Ireland,IRL,2012,6957356000
Ireland,IRL,2013,7209356300
Ireland,IRL,2014,7339217000
Ireland,IRL,2015,6521099000
Ireland,IRL,2016,7038229000
Ireland,IRL,2017,7313719000
Ireland,IRL,2018,8137504300
Ireland,IRL,2019,8644495000
Ireland,IRL,2020,2668748300
Ireland,IRL,2021,2524000000
Israel,ISR,1995,3769807600
Israel,ISR,1996,3935410200
Israel,ISR,1997,3853954800
Israel,ISR,1998,4110882800
Israel,ISR,1999,4174146000
Israel,ISR,2000,4412306400
Israel,ISR,2001,4506810400
Israel,ISR,2002,3830860800
Israel,ISR,2003,3756138500
Israel,ISR,2004,4011107300
Israel,ISR,2005,4524680000
Israel,ISR,2006,4568771000
Israel,ISR,2007,5136002000
Israel,ISR,2008,4985130500
Israel,ISR,2009,4471177000
Israel,ISR,2010,4554364000
Israel,ISR,2011,4547500000
Israel,ISR,2012,4613453000
Israel,ISR,2013,5283139000
Israel,ISR,2014,5939363300
Israel,ISR,2015,6873220000
Israel,ISR,2016,7278707000
