Entity,Code,Year,Outbound Tourism Expenditure (adjusted for US 2021 inflation)
Israel,ISR,2017,7801226000
Israel,ISR,2018,8501161000
Israel,ISR,2019,8641316000
Israel,ISR,2020,1888749300
Israel,ISR,2021,3232000000
Italy,ITA,1995,26337085000
Italy,ITA,1996,27306010000
Italy,ITA,1997,28095212000
Italy,ITA,1998,29253261000
Italy,ITA,1999,27470305000
Italy,ITA,2000,24683108000
Italy,ITA,2001,22645766000
Italy,ITA,2002,25517478000
Italy,ITA,2003,30349597000
Italy,ITA,2004,29367446000
Italy,ITA,2005,31027569000
Italy,ITA,2006,31133237000
Italy,ITA,2007,35706323000
Italy,ITA,2008,38939650000
Italy,ITA,2009,35323564000
Italy,ITA,2010,33430150000
Italy,ITA,2011,34632070000
Italy,ITA,2012,30967611000
Italy,ITA,2013,31345228000
Italy,ITA,2014,33040210000
Italy,ITA,2015,27923886000
Italy,ITA,2016,28210495000
Italy,ITA,2017,30843420000
Italy,ITA,2018,32377360000
Italy,ITA,2019,32122206000
Italy,ITA,2020,11381705000
Italy,ITA,2021,14879000000
Japan,JPN,1995,65374155000
Japan,JPN,1996,64020378000
Japan,JPN,1997,55722815000
Japan,JPN,1998,47884386000
Japan,JPN,1999,53310640000
Japan,JPN,2000,50171888000
Japan,JPN,2001,40601080000
Japan,JPN,2002,40155492000
Japan,JPN,2003,42655000000
Japan,JPN,2004,54875853000
Japan,JPN,2005,52121936000
Japan,JPN,2006,36125413000
Japan,JPN,2007,34646450000
Japan,JPN,2008,35114906000
Japan,JPN,2009,31827454000
Japan,JPN,2010,34732462000
Japan,JPN,2011,32840776000
Japan,JPN,2012,32935029000
Japan,JPN,2013,25428158000
Japan,JPN,2014,22106930000
Japan,JPN,2015,18262278000
Japan,JPN,2016,20956627000
Japan,JPN,2017,20106093000
Japan,JPN,2018,21795693000
Japan,JPN,2019,22551364000
Japan,JPN,2020,5703939600
Japan,JPN,2021,2830000000
Latvia,LVA,1995,42677068
Latvia,LVA,1996,644384500
Latvia,LVA,1997,550323800
Latvia,LVA,1998,507003330
Latvia,LVA,1999,435959140
Latvia,LVA,2000,388673200
Latvia,LVA,2001,341262720
Latvia,LVA,2002,346479740
Latvia,LVA,2003,483142460
Latvia,LVA,2004,540839600
Latvia,LVA,2005,810307650
Latvia,LVA,2006,946282600
Latvia,LVA,2007,1211469200
Latvia,LVA,2008,1433492600
Latvia,LVA,2009,1007909440
Latvia,LVA,2010,805246340
Latvia,LVA,2011,921546300
Latvia,LVA,2012,802544900
Latvia,LVA,2013,831669760
Latvia,LVA,2014,818393600
Latvia,LVA,2015,706528640
Latvia,LVA,2016,789175800
Latvia,LVA,2017,804774400
Latvia,LVA,2018,839540900
Latvia,LVA,2019,792800640
Latvia,LVA,2020,578979140
Latvia,LVA,2021,736000000
Lithuania,LTU,1995,188490380
Lithuania,LTU,1996,459534270
Lithuania,LTU,1997,467606430
Lithuania,LTU,1998,485393340
Lithuania,LTU,1999,554709200
Lithuania,LTU,2000,398114700
Lithuania,LTU,2001,335141400
Lithuania,LTU,2002,491097340
Lithuania,LTU,2003,693780800
Lithuania,LTU,2004,912397800
Lithuania,LTU,2005,1030922240
Lithuania,LTU,2006,1221833600
Lithuania,LTU,2007,1495060100
Lithuania,LTU,2008,1925587000
Lithuania,LTU,2009,1413346800
Lithuania,LTU,2010,1055021900
Lithuania,LTU,2011,1034782100
Lithuania,LTU,2012,1091697200
Lithuania,LTU,2013,1243433600
Lithuania,LTU,2014,1212138200
Lithuania,LTU,2015,1087231000
Lithuania,LTU,2016,1142555000
Lithuania,LTU,2017,1232587300
Lithuania,LTU,2018,1510742000
Lithuania,LTU,2019,1471132900
Lithuania,LTU,2020,563274500
Lithuania,LTU,2021,575000000
Luxembourg,LUX,1995,2121406000
Luxembourg,LUX,1996,2054083500
Luxembourg,LUX,1997,1882242600
Luxembourg,LUX,1998,2219178800
Luxembourg,LUX,1999,2140754400
Luxembourg,LUX,2000,2059810600
Luxembourg,LUX,2001,2240397300
Luxembourg,LUX,2002,2314124800
Luxembourg,LUX,2003,2822301000
Luxembourg,LUX,2004,3172887800
Luxembourg,LUX,2005,3152384800
Luxembourg,LUX,2006,3017371100
Luxembourg,LUX,2007,3359653600
Luxembourg,LUX,2008,3435486700
Luxembourg,LUX,2009,3250024400
Luxembourg,LUX,2010,3042444500
Luxembourg,LUX,2011,3165318700
Luxembourg,LUX,2012,2765945300
Luxembourg,LUX,2013,2930398700
Luxembourg,LUX,2014,3199722000
Luxembourg,LUX,2015,2606948400
Luxembourg,LUX,2016,2495069700
Luxembourg,LUX,2017,3197005000
Luxembourg,LUX,2018,3585133000
Luxembourg,LUX,2019,3848132000
Luxembourg,LUX,2020,2894367000
Luxembourg,LUX,2021,3828530200
Malta,MLT,1995,380537200
Malta,MLT,1996,378338340
Malta,MLT,1997,320740860
Malta,MLT,1998,320825060
Malta,MLT,1999,326969300
Malta,MLT,2000,314715140
Malta,MLT,2001,275458700
Malta,MLT,2002,231990770
Malta,MLT,2003,316693980
Malta,MLT,2004,365819870
Malta,MLT,2005,371853540
Malta,MLT,2006,430128480
Malta,MLT,2007,309728400
Malta,MLT,2008,386375940
Malta,MLT,2009,367545900
Malta,MLT,2010,383983230
Malta,MLT,2011,401143680
Malta,MLT,2012,400092220
Malta,MLT,2013,446659040
Malta,MLT,2014,454408770
Malta,MLT,2015,420716060
Malta,MLT,2016,460634850
Malta,MLT,2017,521776830
Malta,MLT,2018,558974500
Malta,MLT,2019,561743800
Malta,MLT,2020,132966280
Malta,MLT,2021,240000000
Mexico,MEX,1995,5638707700
Mexico,MEX,1996,5851288000
Mexico,MEX,1997,6570123000
Mexico,MEX,1998,6996646000
Mexico,MEX,1999,7386904600
Mexico,MEX,2000,8653093000
Mexico,MEX,2001,8725920000
Mexico,MEX,2002,9128989000
Mexico,MEX,2003,9210640000
Mexico,MEX,2004,9983295000
Mexico,MEX,2005,10545101000
Mexico,MEX,2006,10898381000
Mexico,MEX,2007,11058741000
Mexico,MEX,2008,10783286000
Mexico,MEX,2009,9102761000
Mexico,MEX,2010,9015528000
Mexico,MEX,2011,9434707000
Mexico,MEX,2012,9971621000
Mexico,MEX,2013,10610478000
Mexico,MEX,2014,10995089000
Mexico,MEX,2015,11544540000
Mexico,MEX,2016,11632158000
Mexico,MEX,2017,11983180000
Mexico,MEX,2018,12118309000
Mexico,MEX,2019,10472812000
Mexico,MEX,2020,3638250800
Mexico,MEX,2021,5111000000
Netherlands,NLD,1995,20758837000
Netherlands,NLD,1996,21207680000
Netherlands,NLD,1997,18952407000
Netherlands,NLD,1998,19955984000
Netherlands,NLD,1999,19567730000
Netherlands,NLD,2000,19183462000
Netherlands,NLD,2001,18354730000
Netherlands,NLD,2002,19547482000
Netherlands,NLD,2003,22485275000
Netherlands,NLD,2004,23452641000
Netherlands,NLD,2005,19042230000
Netherlands,NLD,2006,19608482000
Netherlands,NLD,2007,22578807000
Netherlands,NLD,2008,24925653000
Netherlands,NLD,2009,23527991000
Netherlands,NLD,2010,23665295000
Netherlands,NLD,2011,24985348000
Netherlands,NLD,2012,23342256000
Netherlands,NLD,2013,24075387000
Netherlands,NLD,2014,24142040000
Netherlands,NLD,2015,20621947000
Netherlands,NLD,2016,20226384000
Netherlands,NLD,2017,22092825000
Netherlands,NLD,2018,22530884000
Netherlands,NLD,2019,21699210000
Netherlands,NLD,2020,7704924700
Netherlands,NLD,2021,9905401000
New Zealand,NZL,1995,2238767900
New Zealand,NZL,1996,2532621300
New Zealand,NZL,1997,2466328300
New Zealand,NZL,1998,2298969300
New Zealand,NZL,1999,2326199600
New Zealand,NZL,2000,1943366100
New Zealand,NZL,2001,1920559400
New Zealand,NZL,2002,2087917000
New Zealand,NZL,2003,2428969200
New Zealand,NZL,2004,3197696000
New Zealand,NZL,2005,3706047700
New Zealand,NZL,2006,3407424000
New Zealand,NZL,2007,4021241300
New Zealand,NZL,2008,3783212000
New Zealand,NZL,2009,3258654500
New Zealand,NZL,2010,3776456200
New Zealand,NZL,2011,4169244200
New Zealand,NZL,2012,4384491500
New Zealand,NZL,2013,4491017000
New Zealand,NZL,2014,4702043000
New Zealand,NZL,2015,4254034000
New Zealand,NZL,2016,4527317500
New Zealand,NZL,2017,4933665000
New Zealand,NZL,2018,4967104000
New Zealand,NZL,2019,4550124500
New Zealand,NZL,2020,1502414200
New Zealand,NZL,2021,1037999940
Norway,NOR,1995,7525390000
Norway,NOR,1996,7758527500
Norway,NOR,1997,7508712400
Norway,NOR,1998,7851071500
Norway,NOR,1999,7961134000
Norway,NOR,2000,7240022000
Norway,NOR,2001,6748738000
Norway,NOR,2002,7816884000
Norway,NOR,2003,9892637000
Norway,NOR,2004,12178216000
Norway,NOR,2005,13428352000
Norway,NOR,2006,14410649000
Norway,NOR,2007,15840580000
Norway,NOR,2008,17745605000
Norway,NOR,2009,15284099000
Norway,NOR,2010,16741170000
Norway,NOR,2011,19060951000
Norway,NOR,2012,19595078000
Norway,NOR,2013,21478020000
Norway,NOR,2014,21219858000
Norway,NOR,2015,17489443000
Norway,NOR,2016,17013004000
Norway,NOR,2017,17984717000
Norway,NOR,2018,18400838000
Norway,NOR,2019,17079131000
Norway,NOR,2020,3737713400
Norway,NOR,2021,3580000000
Poland,POL,1995,9780162000
Poland,POL,1996,10780051000
Poland,POL,1997,9706631000
Poland,POL,1998,7364016000
Poland,POL,1999,5856167000
Poland,POL,2000,5216403500
Poland,POL,2001,5350019600
Poland,POL,2002,4938089500
Poland,POL,2003,4544190500
Poland,POL,2004,6841549000
Poland,POL,2005,7686823000
Poland,POL,2006,9698052000
Poland,POL,2007,10129555000
Poland,POL,2008,12457164000
Poland,POL,2009,9303585000
Poland,POL,2010,10386187000
Poland,POL,2011,9939449000
Poland,POL,2012,10079020000
Poland,POL,2013,10009117000
Poland,POL,2014,9737167000
Poland,POL,2015,8804170000
Poland,POL,2016,8892059000
Poland,POL,2017,9782210000
Poland,POL,2018,10365848000
Poland,POL,2019,9833696000
Poland,POL,2020,5554221000
Poland,POL,2021,5735000000
Portugal,PRT,1995,3732465400
Portugal,PRT,1996,3959596000
Portugal,PRT,1997,3494387200
Portugal,PRT,1998,3871510800
Portugal,PRT,1999,3677998000
Portugal,PRT,2000,3505927000
Portugal,PRT,2001,3235109400
Portugal,PRT,2002,3204184300
Portugal,PRT,2003,3549918500
Portugal,PRT,2004,3965200600
Portugal,PRT,2005,4230527500
Portugal,PRT,2006,4492154400
Portugal,PRT,2007,5146457000
Portugal,PRT,2008,5448278000
Portugal,PRT,2009,4774308000
Portugal,PRT,2010,4852603400
Portugal,PRT,2011,4994419700
Portugal,PRT,2012,4464746000
Portugal,PRT,2013,4538707000
Portugal,PRT,2014,4751261700
Portugal,PRT,2015,4224309500
Portugal,PRT,2016,4441513500
Portugal,PRT,2017,5086218000
Portugal,PRT,2018,5822831000
Portugal,PRT,2019,6072132600
Portugal,PRT,2020,3287512800
Portugal,PRT,2021,4208999700
Romania,ROU,1995,1239413200
Romania,ROU,1996,1148835700
Romania,ROU,1997,1149602800
Romania,ROU,1998,761336200
Romania,ROU,1999,653938600
Romania,ROU,2000,668769700
Romania,ROU,2001,687116400
Romania,ROU,2002,596547700
Romania,ROU,2003,705564740
Romania,ROU,2004,773242800
Romania,ROU,2005,1280674700
Romania,ROU,2006,1758150100
Romania,ROU,2007,2013887700
Romania,ROU,2008,2736095700
Romania,ROU,2009,1855412100
Romania,ROU,2010,2034241200
Romania,ROU,2011,2367109000
Romania,ROU,2012,2162150400
Romania,ROU,2013,2332164900
Romania,ROU,2014,2867239200
Romania,ROU,2015,2557450500
Romania,ROU,2016,2899289600
Romania,ROU,2017,4838595600
Romania,ROU,2018,5749453000
Romania,ROU,2019,6355124000
Romania,ROU,2020,3223647000
Romania,ROU,2021,5210000000
Russia,RUS,1995,20625470000
Russia,RUS,1996,17294727000
Russia,RUS,1997,17071855000
Russia,RUS,1998,14423831000
Russia,RUS,1999,11544782000
Russia,RUS,2000,13922998000
Russia,RUS,2001,14209078000
Russia,RUS,2002,16447241000
Russia,RUS,2003,18972180000
Russia,RUS,2004,21927674000
Russia,RUS,2005,23548875000
Russia,RUS,2006,23501144000
Russia,RUS,2007,26691527000
Russia,RUS,2008,29159428000
Russia,RUS,2009,26547931000
Russia,RUS,2010,33170432000
Russia,RUS,2011,39634924000
Russia,RUS,2012,50510758000
Russia,RUS,2013,62175170000
Russia,RUS,2014,57720210000
Russia,RUS,2015,39936016000
Russia,RUS,2016,27041970000
Russia,RUS,2017,34333356000
Russia,RUS,2018,36981887000
Russia,RUS,2019,38317290000
Russia,RUS,2020,9574618000
Russia,RUS,2021,11407000000
Saudi Arabia,SAU,2004,6352355000
Saudi Arabia,SAU,2005,12608332000
Saudi Arabia,SAU,2006,17445743000
Saudi Arabia,SAU,2007,26359583000
Saudi Arabia,SAU,2008,19040657000
Saudi Arabia,SAU,2009,25790104000
Saudi Arabia,SAU,2010,26263706000
Saudi Arabia,SAU,2011,20805263000
Saudi Arabia,SAU,2012,20090767000
Saudi Arabia,SAU,2013,20541663000
Saudi Arabia,SAU,2014,27605619000
Saudi Arabia,SAU,2015,22117319000
Saudi Arabia,SAU,2016,18806997000
Saudi Arabia,SAU,2017,19403020000
Saudi Arabia,SAU,2018,17968118000
Saudi Arabia,SAU,2019,16046795000
Saudi Arabia,SAU,2020,9258431000
Saudi Arabia,SAU,2021,12176000000
Slovakia,SVK,1995,570805760
Slovakia,SVK,1996,832689900
Slovakia,SVK,1997,741080100
Slovakia,SVK,1998,789595400
Slovakia,SVK,1999,551455740
Slovakia,SVK,2000,465778430
Slovakia,SVK,2001,442264220
Slovakia,SVK,2002,665843650
Slovakia,SVK,2003,844026300
Slovakia,SVK,2004,1068767900
Slovakia,SVK,2005,1171061100
Slovakia,SVK,2006,1424800500
Slovakia,SVK,2007,2003432700
Slovakia,SVK,2008,2819160000
Slovakia,SVK,2009,2652393200
Slovakia,SVK,2010,2415739000
Slovakia,SVK,2011,2634538200
Slovakia,SVK,2012,2525656000
Slovakia,SVK,2013,2753234200
Slovakia,SVK,2014,2779104500
Slovakia,SVK,2015,2430549800
Slovakia,SVK,2016,2528975400
Slovakia,SVK,2017,2665262600
Slovakia,SVK,2018,2829404200
Slovakia,SVK,2019,2741945600
Slovakia,SVK,2020,1491944300
Slovakia,SVK,2021,1483000000
Slovenia,SVN,1995,1022471400
Slovenia,SVN,1996,1043453760
Slovenia,SVN,1997,874440800
Slovenia,SVN,1998,932553660
Slovenia,SVN,1999,881678500
Slovenia,SVN,2000,804097200
Slovenia,SVN,2001,808012160
Slovenia,SVN,2002,915911600
Slovenia,SVN,2003,1109165600
Slovenia,SVN,2004,1245222100
Slovenia,SVN,2005,1318137600
Slovenia,SVN,2006,1310547600
Slovenia,SVN,2007,1495060100
Slovenia,SVN,2008,1709115800
Slovenia,SVN,2009,2012029600
Slovenia,SVN,2010,1837900300
Slovenia,SVN,2011,1873208600
Slovenia,SVN,2012,1603909600
Slovenia,SVN,2013,1648218200
Slovenia,SVN,2014,1703174400
Slovenia,SVN,2015,1407341000
Slovenia,SVN,2016,1473805700
Slovenia,SVN,2017,1664821800
Slovenia,SVN,2018,1881197600
Slovenia,SVN,2019,1778714100
Slovenia,SVN,2020,858522430
Slovenia,SVN,2021,1202000000
South Africa,ZAF,1995,3287912400
South Africa,ZAF,1996,3031889700
South Africa,ZAF,1997,3310383000
South Africa,ZAF,1998,3171680000
South Africa,ZAF,1999,3298974200
South Africa,ZAF,2000,3280905500
South Africa,ZAF,2001,2873952300
South Africa,ZAF,2002,2728151300
South Africa,ZAF,2003,4255483400
South Africa,ZAF,2004,4528993300
South Africa,ZAF,2005,4681469400
South Africa,ZAF,2006,4548608500
South Africa,ZAF,2007,5132081700
South Africa,ZAF,2008,5542670000
South Africa,ZAF,2009,5244160000
South Africa,ZAF,2010,6952705500
South Africa,ZAF,2011,6364090400
South Africa,ZAF,2012,4802287000
South Africa,ZAF,2013,3988525300
South Africa,ZAF,2014,3627257600
South Africa,ZAF,2015,3427464200
South Africa,ZAF,2016,3226701300
South Africa,ZAF,2017,3601586400
South Africa,ZAF,2018,3671103000
South Africa,ZAF,2019,3329127000
South Africa,ZAF,2020,971596100
South Africa,ZAF,2021,991000000
South Korea,KOR,1995,11275637000
South Korea,KOR,1996,12925697000
South Korea,KOR,1997,11796512000
South Korea,KOR,1998,5768202000
South Korea,KOR,1999,7939986400
South Korea,KOR,2000,11222743000
South Korea,KOR,2001,11656494000
South Korea,KOR,2002,15764828000
South Korea,KOR,2003,14881672000
South Korea,KOR,2004,17717158000
South Korea,KOR,2005,21376027000
South Korea,KOR,2006,25282144000
South Korea,KOR,2007,28694960000
South Korea,KOR,2008,23982998000
South Korea,KOR,2009,18989873000
South Korea,KOR,2010,23319835000
South Korea,KOR,2011,23996342000
South Korea,KOR,2012,24365498000
South Korea,KOR,2013,25180402000
South Korea,KOR,2014,26545713000
South Korea,KOR,2015,28889932000
South Korea,KOR,2016,30757536000
South Korea,KOR,2017,35033113000
South Korea,KOR,2018,37912076000
South Korea,KOR,2019,34699870000
South Korea,KOR,2020,16847980000
South Korea,KOR,2021,16683000000
Spain,ESP,1995,8071300000
Spain,ESP,1996,8736334000
Spain,ESP,1997,7902041600
Spain,ESP,1998,8790274000
Spain,ESP,1999,9610620000
Spain,ESP,2000,9392674000
Spain,ESP,2001,10075667000
Spain,ESP,2002,11105430000
Spain,ESP,2003,13510313000
Spain,ESP,2004,17638257000
Spain,ESP,2005,21047187000
Spain,ESP,2006,22622069000
Spain,ESP,2007,25962293000
Spain,ESP,2008,25854468000
Spain,ESP,2009,21656158000
Spain,ESP,2010,21033333000
Spain,ESP,2011,20945000000
Spain,ESP,2012,18169380000
Spain,ESP,2013,19114447000
Spain,ESP,2014,20575447000
Spain,ESP,2015,19925709000
Spain,ESP,2016,21228716000
Spain,ESP,2017,24702595000
Spain,ESP,2018,28411660000
Spain,ESP,2019,29386620000
Spain,ESP,2020,9023908000
Spain,ESP,2021,12225000000
Sweden,SWE,1995,9687694000
Sweden,SWE,1996,10802511000
Sweden,SWE,1997,11003100000
Sweden,SWE,1998,12831340000
Sweden,SWE,1999,13049492000
Sweden,SWE,2000,12664138000
Sweden,SWE,2001,10591387000
Sweden,SWE,2002,10998472000
Sweden,SWE,2003,12219969000
Sweden,SWE,2004,14582584000
Sweden,SWE,2005,13894558000
Sweden,SWE,2006,13242580000
Sweden,SWE,2007,15449825000
Sweden,SWE,2008,16115780000
Sweden,SWE,2009,13327645000
Sweden,SWE,2010,15068546000
Sweden,SWE,2011,16862492000
Sweden,SWE,2012,16468693000
Sweden,SWE,2013,16461246000
Sweden,SWE,2014,16602518000
Sweden,SWE,2015,15002873000
Sweden,SWE,2016,15249496000
Sweden,SWE,2017,16651533000
Sweden,SWE,2018,16946211000
Sweden,SWE,2019,15208418000
Sweden,SWE,2020,6429496000
Sweden,SWE,2021,8357000000
Switzerland,CHE,1995,13194328000
Switzerland,CHE,1996,13174467000
Switzerland,CHE,1997,11794823000
Switzerland,CHE,1998,11326953000
Switzerland,CHE,1999,9381255000
Switzerland,CHE,2000,9041766000
Switzerland,CHE,2001,8341807000
Switzerland,CHE,2002,8799079000
Switzerland,CHE,2003,10733718000
Switzerland,CHE,2004,12281506000
Switzerland,CHE,2005,12885836000
Switzerland,CHE,2006,13075906000
Switzerland,CHE,2007,13897264000
Switzerland,CHE,2008,14428059000
Switzerland,CHE,2009,14561638000
Switzerland,CHE,2010,14669650000
Switzerland,CHE,2011,17506970000
Switzerland,CHE,2012,18897572000
Switzerland,CHE,2013,19803048000
Switzerland,CHE,2014,20347670000
Switzerland,CHE,2015,19668478000
Switzerland,CHE,2016,19893103000
Switzerland,CHE,2017,21119800000
Switzerland,CHE,2018,20584940000
Switzerland,CHE,2019,19982180000
Switzerland,CHE,2020,10498054000
Switzerland,CHE,2021,11662000000
Turkey,TUR,1995,1619950300
Turkey,TUR,1996,2185379000
Turkey,TUR,1997,2896796400
Turkey,TUR,1998,2915684600
Turkey,TUR,1999,2392895000
Turkey,TUR,2000,2695535000
Turkey,TUR,2001,2659706600
Turkey,TUR,2002,2832095000
Turkey,TUR,2003,3112439000
Turkey,TUR,2004,3620899300
Turkey,TUR,2005,4306840600
Turkey,TUR,2006,4017668600
Turkey,TUR,2007,4768771000
Turkey,TUR,2008,4812709000
Turkey,TUR,2009,5778428000
Turkey,TUR,2010,6454397400
Turkey,TUR,2011,5882236000
Turkey,TUR,2012,4831792600
Turkey,TUR,2013,5603011600
Turkey,TUR,2014,5805444000
Turkey,TUR,2015,6136967000
Turkey,TUR,2016,5400040000
Turkey,TUR,2017,5331630000
Turkey,TUR,2018,4958471000
Turkey,TUR,2019,4356164600
Turkey,TUR,2020,1088857600
Turkey,TUR,2021,1650000000
United Kingdom,GBR,1995,44323690000
United Kingdom,GBR,1996,44851237000
United Kingdom,GBR,1997,48160084000
United Kingdom,GBR,1998,55607460000
United Kingdom,GBR,1999,68053540000
United Kingdom,GBR,2000,66297897000
United Kingdom,GBR,2001,64610370000
United Kingdom,GBR,2002,70925910000
United Kingdom,GBR,2003,79516705000
United Kingdom,GBR,2004,90282910000
United Kingdom,GBR,2005,91922740000
United Kingdom,GBR,2006,92747800000
United Kingdom,GBR,2007,103782530000
United Kingdom,GBR,2008,98237650000
United Kingdom,GBR,2009,79993650000
United Kingdom,GBR,2010,81620670000
United Kingdom,GBR,2011,82464540000
United Kingdom,GBR,2012,81492530000
United Kingdom,GBR,2013,82388820000
United Kingdom,GBR,2014,90759274000
United Kingdom,GBR,2015,88613320000
United Kingdom,GBR,2016,84794065000
United Kingdom,GBR,2017,85084996000
United Kingdom,GBR,2018,91805630000
United Kingdom,GBR,2019,91095770000
United Kingdom,GBR,2020,25650977000
United Kingdom,GBR,2021,27331000000
United States,USA,1995,82471660000
United States,USA,1996,85811980000
United States,USA,1997,90833810000
United States,USA,1998,97163450000
United States,USA,1999,95754840000
United States,USA,2000,100982650000
United States,USA,2001,92622980000
United States,USA,2002,88905190000
United States,USA,2003,90212120000
United States,USA,2004,100897420000
United States,USA,2005,102829990000
United States,USA,2006,105346530000
United States,USA,2007,107954050000
United States,USA,2008,106118726000
United States,USA,2009,104213790000
United States,USA,2010,105831490000
United States,USA,2011,104349160000
United States,USA,2012,106620450000
United States,USA,2013,105984980000
United States,USA,2014,110166070000
United States,USA,2015,117372930000
United States,USA,2016,123237876000
United States,USA,2017,130365710000
United States,USA,2018,135662480000
United States,USA,2019,140195350000
United States,USA,2020,35763740000
United States,USA,2021,56850000000